date,ticker,gap_pct,open,prev_close,volume,stop,tgt,shares,outcome,exit,pnl,pct
2026-04-28,NVTS,-6.16,8.095000267028809,18.3,30030588,8.21642527103424,7.852150259017944,823,STOP,8.21642527103424,-99.9327782964697,-1.4999999999999858
2026-03-26,OKLO,-3.0,17.172000885009766,55.27,7246300,17.42958089828491,16.65684085845947,388,TARGET,16.65684085845947,199.88209030151415,3.0000000000000075
2026-04-02,OKLO,-4.41,1.6100000143051147,48.07,5533400,1.6341500145196912,1.5617000138759614,4140,STOP,1.6341500145196912,-99.9810008883466,-1.4999999999999845
2026-04-28,OKLO,-5.82,45.95000076293945,75.93,10864893,46.63925077438354,44.57150074005127,145,STOP,46.63925077438354,-99.94125165939273,-1.4999999999999913
2026-04-02,OPEN,-4.16,8.515000343322754,4.57,29245000,8.642725348472595,8.259550333023071,782,STOP,8.642725348472595,-99.8809540271759,-1.5
2026-03-26,ORBS,-4.69,4.375100135803223,1.28,31126200,4.440726637840271,4.243847131729126,1523,STOP,4.440726637840271,-99.94916260242462,-1.5
2026-04-09,ORBS,-3.23,0.8999999761581421,0.93,21607100,0.9134999758005141,0.8729999768733978,7407,TARGET,0.8729999768733978,199.98899470210088,3.0000000000000018
2026-04-16,ORBS,-3.51,0.8600000143051147,1.14,32260600,0.8729000145196913,0.8342000138759613,7751,STOP,0.8729000145196913,-99.98790166318324,-1.499999999999986
2026-04-23,ORCL,-3.79,1.0959999561309814,187.5,37084200,1.112439955472946,1.063119957447052,6082,TARGET,1.063119957447052,199.97615199565882,2.999999999999999
2026-04-28,ORCL,-6.24,180.39999389648438,172.96,27178961,183.10599380493161,174.98799407958984,36,TARGET,174.98799407958984,194.8319934082033,3.0000000000000027
2026-03-26,ORKA,-3.2,162.16000366210938,43.81,1558600,164.592403717041,157.29520355224608,41,STOP,164.592403717041,-99.72840225219699,-1.4999999999999958
2026-04-22,PBM,-15.07,8.0600004196167,9.49,2174900,8.180900425910949,7.818200407028198,827,STOP,8.180900425910949,-99.98430520534421,-1.4999999999999858
2026-04-07,PFSA,-21.62,8.569999694824219,1.85,8751600,8.698549690246582,8.312899703979491,777,STOP,8.698549690246582,-99.88334644317588,-1.4999999999999942
2026-04-09,PFSA,-6.56,1.4550000429153442,1.22,1350800,1.4768250435590742,1.411350041627884,4581,TARGET,1.411350041627884,199.96065589785576,3.0
2026-04-02,POET,-4.64,1.1399999856948853,5.6,9542800,1.1570999854803083,1.1057999861240386,5847,STOP,1.1570999854803083,-99.98369874536883,-1.4999999999999836
2026-04-23,POET,-7.44,5.340000152587891,12.77,45812700,5.4201001548767085,5.179800148010254,1248,STOP,5.4201001548767085,-99.96480285644469,-1.4999999999999907
2026-04-27,POET,-36.62,11.8149995803833,15.1,195479500,11.992224574089049,11.460549592971802,564,STOP,11.992224574089049,-99.95489645004173,-1.4999999999999851
2026-04-28,POET,-5.03,9.58899974822998,7.95,75198452,9.732834744453429,9.301329755783081,695,TARGET,9.301329755783081,199.93064475059484,2.9999999999999964
2026-04-28,PRFX,-4.37,7.550000190734863,2.29,1088767,7.663250193595886,7.323500185012817,883,STOP,7.663250193595886,-99.99975252628276,-1.4999999999999925
2026-04-02,QBTS,-4.38,2.190000057220459,13.7,17185500,2.2228500580787656,2.1243000555038454,3044,TARGET,2.1243000555038454,199.99080522537182,2.9999999999999925
2026-04-20,QBTS,-3.07,21.024999618530273,21.69,39241800,21.340374612808226,20.394249629974365,317,STOP,21.340374612808226,-99.973873186111,-1.4999999999999931
2026-04-28,QBTS,-3.46,13.100000381469727,18.8,12167135,13.296500387191772,12.707000370025634,508,STOP,13.296500387191772,-99.82200290679907,-1.4999999999999962
2026-04-09,QNCX,-31.15,0.125,1.83,16966120,0.126875,0.12125,53333,TARGET,0.12125,199.99875000000017,3.0000000000000027
2026-04-10,QNCX,-7.26,0.11330000311136246,1.24,11736750,0.11499950315803288,0.10990100301802158,58840,STOP,0.11499950315803288,-99.99858274608775,-1.4999999999999887
2026-04-13,QNCX,-5.15,1.2899999618530273,1.36,4342500,1.3093499612808226,1.2512999629974364,5167,TARGET,1.2512999629974364,199.96289408683842,3.0000000000000098
2026-04-14,QNCX,-11.35,1.25,1.41,3030700,1.2687499999999998,1.2125,5333,STOP,1.2687499999999998,-99.99374999999905,-1.4999999999999858
2026-04-15,QNCX,-6.4,1.1799999475479126,1.25,2589400,1.1976999467611311,1.1445999491214751,5649,STOP,1.1976999467611311,-99.98729555547142,-1.4999999999999858
2026-04-16,QNCX,-4.47,1.1749999523162842,1.23,2913300,1.1926249516010283,1.1397499537467957,5673,STOP,1.1926249516010283,-99.98662094235355,-1.4999999999999902
2026-04-20,QNCX,-9.85,1.2400000095367432,1.37,1747300,1.2586000096797942,1.2028000092506408,5376,STOP,1.2586000096797942,-99.99360076904259,-1.4999999999999942
