ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
BLLN,87.99,BASING,0.0,0,20,20,90.44,90.23,21,4h,2.55,44 bear-built-above · rel-vol 0.6x · regime CHOP,False,20,87.99,86.6701,90.44,75,2.78,1.86,False
BLMN,10.58,BASING,0.0,0,20,20,10.665,10.66,1,1h,0.76,35 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,10.58,10.4213,10.665,630,0.8,0.54,False
BLSH,24.96,BASING,0.0,0,12,12,28.6,28.37,24,daily,13.66,8 bear-built-above · rel-vol 0.8x · regime CHOP,False,12,24.96,24.5856,28.6,267,14.58,9.72,False
BLZE,18.74,BASING,0.0,0,20,20,20.23,20.02,22,30m,6.83,21 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,18.74,18.4589,20.23,355,7.95,5.3,False
BMNR,18.32,BASING,0.0,0,15,15,18.465,18.46,1,45m,0.76,17 bear-built-above · rel-vol 0.7x · regime CHOP,False,15,18.32,18.0452,18.465,363,0.79,0.53,False
BMRN,65.0,BASING,0.0,0,20,20,71.29,70.61,69,weekly,8.63,24 bear-built-above · rel-vol 0.8x · regime CHOP,False,21,65.0,64.025,71.29,102,9.68,6.45,False
BMY,66.1,BASING,0.0,0,11,11,68.7,68.55,16,45m,3.71,5 bear-built-above · rel-vol 0.8x · regime CHOP,True,13,66.1,65.1085,68.7,100,3.93,2.62,False
BOIL,19.58,BASING,0.0,0,20,20,21.81,21.26,55,weekly,8.58,47 bear-built-above · rel-vol 1.0x · regime CHOP,False,20,19.58,19.2863,21.81,340,11.39,7.59,False
BORR,4.4,BASING,0.0,0,19,19,5.05,5.02,4,30m,14.09,24 bear-built-above · rel-vol 1.3x · regime CHOP,False,19,4.4,4.334,5.05,1515,14.77,9.85,False
BOXL,7.83,BASING,0.0,0,5,5,8.74,8.71,3,15m,11.24,4 bear-built-above · rel-vol 0.1x · regime CHOP,False,5,7.83,7.7126,8.74,851,11.62,7.75,False
BR,169.86,BASING,0.0,0,20,20,178.32,177.31,101,weekly,4.39,45 bear-built-above · rel-vol 1.3x · regime CHOP,False,20,169.86,167.3121,178.32,39,4.98,3.32,False
BRKR,56.8,BASING,0.0,0,18,18,57.23,56.98,25,daily,0.32,18 bear-built-above · rel-vol 0.6x · regime CHOP,False,19,56.8,55.948,57.23,117,0.76,0.5,False
BRUN,19.9,BASING,0.0,0,14,14,22.63,21.54,109,daily,8.24,28 bear-built-above · rel-vol 0.8x · regime CHOP,False,14,19.9,19.6015,22.63,335,13.72,9.15,False
