ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
FLOC,LONG,CONVICTION,64.2,BULL_BOUNCE_PENDING,22.91,22.38,24.1,26.45,188,2.24,FAVORABLE,23.38,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:42:10.601160
SBLK,LONG,CONVICTION,64.1,BULL_BOUNCE_PENDING,27.04,26.68,27.71,27.9,278,1.88,FAVORABLE,27.45,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:37:22.565897
MSFT,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,461.15,457.65,495.37,490.1,28,9.77,FAVORABLE,465.0,LIMIT,5,VACUUM,2026-06-01,2026-06-01T05:29:18.280725
ASAN,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,8.14,7.99,8.38,9.1,644,1.52,FAVORABLE,8.23,LIMIT,4,COMPRESSION,2026-06-01,2026-06-01T05:30:13.375531
AI,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,10.95,10.79,11.9,11.44,619,5.88,FAVORABLE,11.1,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:30:29.058062
NTSK,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,12.21,12.01,12.85,14.03,495,3.17,FAVORABLE,12.39,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:30:49.224177
FSLR,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,304.1,299.34,319.31,,21,3.2,FAVORABLE,306.48,LIMIT,0,NONE,2026-06-01,2026-06-01T05:31:10.946754
CIEN,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,568.5,557.55,608.61,608.25,9,3.67,FAVORABLE,574.4,LIMIT,5,VACUUM,2026-06-01,2026-06-01T05:31:46.769889
GRRR,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,19.95,19.54,20.95,,243,2.43,FAVORABLE,20.02,LIMIT,3,MINOR,2026-06-01,2026-06-01T05:32:16.251187
SNX,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,259.29,257.02,272.25,,44,5.71,FAVORABLE,261.28,LIMIT,0,NONE,2026-06-01,2026-06-01T05:34:00.702262
ACIW,LONG,CONVICTION,64.0,BULL_BOUNCE_PENDING,43.12,42.09,44.89,46.1,96,1.71,FAVORABLE,44.0,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:34:44.124709
