ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
HUBC,5.12,5.075,4.6,4.6,ABOVE_PDH,RECLAIMED_PDL,True,4.8,4.57,1.0,ABOVE_ORH,0.299,False,False,0.299,4.24,84,CONTINUATION_LONG,26,AVOID_SHORT
INHD,3.5599,3.5111,2.92,3.05,ABOVE_PDH,RECLAIMED_PDL,True,3.16,2.8801,1.0,ABOVE_ORH,0.635,False,False,0.635,0.95,84,CONTINUATION_LONG,26,AVOID_SHORT
INTC,123.846,110.49,106.4,108.6,ABOVE_PDH,ABOVE_PDL,True,121.265,114.93,1.0,ABOVE_ORH,0.91,True,False,0.91,0.9,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
IVDA,0.3366,0.3277,0.2855,0.32,ABOVE_PDH,ABOVE_PDL,True,0.3488,0.3202,0.573,OR_MIDDLE,0.574,True,False,0.574,0.94,80,PULLBACK_BUY_ZONE,34,NEUTRAL
JHX,26.65,26.07,25.33,25.82,ABOVE_PDH,ABOVE_PDL,True,26.33,25.545,1.0,ABOVE_ORH,0.917,False,False,0.917,4.15,84,AVOID_LONG_CHASE,26,AVOID_SHORT
JRSH,5.73,5.68,5.57,5.64,ABOVE_PDH,ABOVE_PDL,True,5.72,5.61,1.0,ABOVE_ORH,0.839,True,False,0.839,0.99,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
KD,12.1989,13.0,12.03,12.07,BELOW_PDH,ABOVE_PDL,True,12.61,12.125,0.152,OR_BOTTOM_THIRD,0.224,False,False,0.224,3.0,50,RELOAD_ZONE,62,NEUTRAL
KEEL,4.0703,4.09,3.64,4.01,REJECTED_PDH,ABOVE_PDL,True,4.19,4.02,0.296,OR_BOTTOM_THIRD,0.296,False,False,0.296,1.31,46,AVOID_LONG,62,NEUTRAL
KEY,20.87,21.01,20.7,20.81,BELOW_PDH,ABOVE_PDL,True,21.0,20.795,0.366,OR_MIDDLE,0.48,False,False,0.48,2.07,50,NEUTRAL,50,NEUTRAL
LASE,0.8843,0.9176,0.86,0.8919,BELOW_PDH,ABOVE_PDL,True,0.91,0.8853,0.0,BELOW_ORL,0.266,False,False,0.266,0.5,38,AVOID_LONG,60,CONTINUATION_SHORT
LBRT,18.81,19.6,19.01,19.33,BELOW_PDH,BELOW_PDL,True,19.25,18.59,0.333,OR_BOTTOM_THIRD,0.333,False,False,0.333,3.18,46,NEUTRAL,62,CONTINUATION_SHORT
LSCC,119.58,111.94,109.3,110.96,ABOVE_PDH,ABOVE_PDL,True,116.51,111.26,1.0,ABOVE_ORH,1.0,False,False,1.0,2.02,84,AVOID_LONG_CHASE,26,AVOID_SHORT
MSTR,169.4898,154.02,136.18,153.92,ABOVE_PDH,ABOVE_PDL,True,169.52,164.49,0.994,OR_TOP_THIRD,0.994,False,False,0.994,1.36,74,AVOID_LONG_CHASE,40,NEUTRAL
MU,1044.26,1016.44,977.83,1015.8,ABOVE_PDH,ABOVE_PDL,True,1064.49,1030.68,0.402,OR_MIDDLE,0.402,False,False,0.402,0.89,62,CONTINUATION_LONG,42,NEUTRAL
MUX,19.0535,19.01,18.315,19.0,ABOVE_PDH,ABOVE_PDL,True,19.04,18.5301,1.0,ABOVE_ORH,1.0,False,False,1.0,1.99,84,AVOID_LONG_CHASE,26,AVOID_SHORT
NAT,8.01,8.33,8.09,8.25,BELOW_PDH,BELOW_PDL,True,8.255,7.97,0.14,OR_BOTTOM_THIRD,0.329,False,True,0.329,1.85,38,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
NBIS,234.15,224.6499,210.3,223.54,ABOVE_PDH,ABOVE_PDL,True,229.75,221.3,1.0,ABOVE_ORH,0.771,True,False,0.771,0.95,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
NIVF,0.7213,0.75,0.7,0.7191,REJECTED_PDH,ABOVE_PDL,True,0.7491,0.7003,0.43,OR_MIDDLE,0.302,False,False,0.302,0.69,38,AVOID_LONG,62,NEUTRAL
NMRA,0.7195,0.7642,0.71,0.73,REJECTED_PDH,RECLAIMED_PDL,True,0.77,0.7205,0.0,BELOW_ORL,0.436,False,True,0.436,1.48,30,AVOID_LONG,82,FIRST_RALLY_SHORT_ZONE
NMRK,13.97,13.94,13.565,13.94,ABOVE_PDH,ABOVE_PDL,True,14.08,13.855,0.511,OR_MIDDLE,0.532,False,False,0.532,3.3,62,CONTINUATION_LONG,42,NEUTRAL
NN,15.6,15.1,13.5634,14.22,ABOVE_PDH,ABOVE_PDL,True,15.125,14.47,1.0,ABOVE_ORH,0.919,True,False,0.919,3.15,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
NRG,103.53,107.099,103.49,103.66,BELOW_PDH,RECLAIMED_PDL,True,104.82,101.33,0.63,OR_MIDDLE,0.63,False,False,0.63,2.13,62,NEUTRAL,42,AVOID_SHORT
NU,14.02,13.82,13.59,13.65,ABOVE_PDH,ABOVE_PDL,True,13.87,13.695,1.0,ABOVE_ORH,0.812,True,False,0.812,1.68,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
NVDA,227.2938,222.73,218.03,222.27,ABOVE_PDH,ABOVE_PDL,True,224.93,221.56,1.0,ABOVE_ORH,0.826,True,False,0.826,1.11,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
